2024-09-21 14:40:40,556 | ERROR | 'time_step'
2024-09-21 14:40:45,186 | ERROR | 'time_step'
2024-09-21 14:42:17,666 | ERROR | 'time_step'
2024-09-21 14:42:32,934 | ERROR | 'time_step'
2024-09-21 14:45:23,074 | ERROR | 'time_step'
2024-09-21 14:46:26,840 | ERROR | 'time_step'
2024-09-21 14:53:31,073 | ERROR | 'time_step'
2024-09-21 15:01:16,597 | ERROR | 'time_step'
2024-09-21 15:01:34,787 | ERROR | 'time_step'
2024-09-21 16:57:37,937 | ERROR | 'time_step'
2024-09-21 16:57:49,153 | ERROR | 'time_step'
2024-09-21 16:58:06,768 | ERROR | 'time_step'
2024-09-21 16:58:24,729 | ERROR | 'time_step'
2024-09-21 16:58:32,130 | ERROR | 'time_step'
2024-09-21 18:40:07,166 | ERROR | Constraint 2 has been violated.
2024-09-21 18:40:37,166 | ERROR | Constraint 2 has been violated.
2024-09-21 18:40:58,664 | ERROR | Constraint 2 has been violated.
2024-09-21 18:47:18,441 | ERROR | Constraint 2 has been violated.
2024-09-21 18:54:51,796 | ERROR | Constraint 2 has been violated.
2024-09-21 20:37:54,406 | ERROR | Constraint 2 has been violated.
2024-09-21 20:58:55,583 | ERROR | Constraint 2 has been violated.
2024-09-21 21:00:27,858 | ERROR | Constraint 2 has been violated.
2024-09-21 21:19:02,845 | ERROR | 'time_step'
2024-09-21 21:19:15,931 | ERROR | 'time_step'
2024-09-21 21:20:34,765 | ERROR | 'time_step'
2024-09-21 21:31:41,651 | ERROR | Please check the price strategy solution format.
