datacenter_id,server_generation,server_id,action,server_type,release_time,purchase_price,slots_size,energy_consumption,capacity,life_expectancy,cost_of_moving,average_maintenance_fee,cost_of_energy,latency_sensitivity,slots_capacity,selling_price,lifespan,moved,cost
DC1,CPU.S3,69b3d132-028c-4e06-96ec-81f2f2a7fa7c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,71f734a2-32b2-46df-87f7-adceed8ae310,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,624aeadb-db43-425b-998d-49ea138e219c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,c9669bb6-9db9-4b19-b2c1-7b73eda02a92,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,3a98e5f5-4806-4f0f-bed5-247a08bdb494,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,d499a3e8-74ac-42da-a09d-6c3f623b1371,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,a43f8fbe-d95d-4eb2-83f6-0d5f94064be2,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,710dd571-40b2-4e89-a2bf-97721124339c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,3eb269ca-5377-4597-8aba-c282eb15d47d,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,8ca78ae4-b347-4351-bba1-006ba33a159e,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,11000ec5-df68-441b-a942-6d2bf44c25bb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,a2223878-60aa-4851-af46-3a7f37b6ca43,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,111dea67-6a47-412f-a4fa-b463caec29ac,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,ef841e0d-c8bb-4304-8cc1-acf046d28478,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,a629fcbb-78cb-4662-8ccc-cc0b1a7486ad,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,21578331-c8cc-47d6-83bc-e17ecbe4662f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,5f537d15-a812-4d0a-b87b-0732e57546e7,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,b069b4a5-8875-4a92-9b92-fa4f3463e079,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,1c202e4d-88df-4673-87da-177b654f4fc1,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,5ff504d3-24c6-42d1-ab26-6b5c7e2c9e4f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,8ed859f2-8a6c-41b5-ad7d-1a8300508db1,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,bfa94b23-a856-4a12-bed4-5568184a08a3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,29b63573-7f3e-4cce-9318-ca2875fa09b7,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,82ca4270-0f8c-40b0-96fd-58dc52f0a02e,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,6822cf92-f9f9-452a-a3eb-793ae37d8355,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,f45db516-acf3-4b80-8489-ad1f048ad9db,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,a0613b88-50d4-44b3-8521-d3e80f9469fc,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,efbaa022-4064-4211-81e2-89d62474b418,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
